state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude
ACT,Kambah West,Mount Neighbour Primary School,Boddington Cres,KAMBAH,2902.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3806,149.053
ACT,Lyons,Lyons Primary School,Tarraleah Cres,LYONS,2606.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3421,149.076
ACT,Mawson,Mawson Primary School,Ainsworth St,MAWSON,2607.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3585,149.09799999999998
ACT,Monash,Monash Primary School,Corlette Cres,MONASH,2904.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4149,149.089
ACT,Oaks Estate,Oaks Estate Community Hall,William St,OAKS ESTATE,2620.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3424,149.231
ACT,Pearce,Melrose High School,Marr St,PEARCE,2607.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3636,149.089
ACT,Red Hill,Red Hill Primary School,Astrolabe St,RED HILL,2603.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3393,149.13299999999998
ACT,Richardson,Richardson Primary School,May Gibbs Cl,RICHARDSON,2905.0,F,2010 Polling Places,"Match 02 - state, premises, postcode",-35.4287,149.114
ACT,Rivett,Rivett Primary School,Bangalay Cres,RIVETT,2611.0,F,google geocode,GEOMETRIC_CENTER,-35.3455516,149.0380704
ACT,Theodore,Theodore Primary School,Lawrence Wackett Cres,THEODORE,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4477,149.124
ACT,Wanniassa,Wanniassa Primary School,Sternberg Cres,WANNIASSA,2903.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3947,149.086
ACT,Wanniassa Hills,Wanniassa Hills Primary School,Langdon Ave,WANNIASSA,2903.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.391999999999996,149.095
ACT,Waramanga,Arawang Primary School,Nemarang Cres,WARAMANGA,2611.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.355,149.06
ACT,Weston,Weston Primary School,Hilder St,WESTON,2611.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3412,149.053
ACT,Yarralumla,Yarralumla Primary School,Loftus St,YARRALUMLA,2600.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3069,149.10299999999998
ACT,Ainslie,Ainslie Primary School,Elder St,BRADDON,2601.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2664,149.143
ACT,Ainslie North,North Ainslie Primary School,Sherbrooke St,AINSLIE,2602.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2543,149.14700000000002
ACT,Aranda,Aranda Primary School,Banambila St,ARANDA,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.256,149.08
ACT,Baker Gardens,Ainslie Pre School,Baker Gardens,AINSLIE,2602.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.2664,149.143
ACT,Barton,Telopea Park School,New South Wales Cres,BARTON,2600.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3151,149.135
ACT,Belconnen,Lake Ginninderra College,Emu Bank,BELCONNEN,2617.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2391,149.07399999999998
ACT,Bruce,Calvary Hospital,Haydon Dr,BRUCE,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.253,149.088
ACT,Campbell,Campbell Primary School,Chauvel St,CAMPBELL,2601.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2903,149.156
ACT,Charnwood,St Thomas Aquinas Primary School,Lhotsky St,CHARNWOOD,2615.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2051,149.03
ACT,City,Pilgrim House,69 Northbourne Ave,CANBERRA CITY,2601.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2766,149.129
ACT,Dickson,Daramalan College,Cowper St,DICKSON,2602.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2535,149.139
ACT,Downer,Downer Community Centre,Frencham Pl,DOWNER,2602.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2445,149.145
ACT,Evatt,Evatt Primary School,Heydon Cres,EVATT,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2071,149.076
ACT,Evatt South,Miles Franklin Primary School,Alderman St,EVATT,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2133,149.067
ACT,Florey,St Francis Xavier High School,Barnard Crct,FLOREY,2615.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.224000000000004,149.041
ACT,Flynn,Flynn Primary School,Bingle St,FLYNN,2615.0,N,google geocode,GEOMETRIC_CENTER,-35.2054683,149.0450949
ACT,Giralang,Giralang Primary School,Canopus Cres,GIRALANG,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2137,149.094
ACT,Griffith,O'Connell Centre,Stuart St,GRIFFITH,2603.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3222,149.145
ACT,Hall,Hall Primary School,Hoskins St,HALL,2618.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.1704,149.072
ACT,Higgins,Higgins Primary School,Fullagar Cres,HIGGINS,2615.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2328,149.024
ACT,Holt,Holt Primary School,Beaurepaire Cres,HOLT,2615.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2227,149.012
ACT,Jervis Bay,Jervis Bay Primary School,Dykes Ave,JERVIS BAY,2540.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.1294,150.705
ACT,Kaleen,Kaleen Primary School,Ashburton St,KALEEN,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2248,149.114
ACT,Kaleen South,Maribyrnong Primary School,Alberga St,KALEEN,2617.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2351,149.102
ACT,Latham,Latham Primary School,O'Loghlen St,LATHAM,2615.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2202,149.034
ACT,Lyneham,Lyneham Primary School,Hall St,LYNEHAM,2602.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2515,149.125
ACT,Macgregor,Macgregor Primary School,Hirschfeld Cres,MACGREGOR,2615.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2131,149.012
ACT,Macquarie,Macquarie Primary School,Bennelong Cres,MACQUARIE,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2501,149.059
ACT,Melba,Mt Rogers Community School,Alfred Hill Dr,MELBA,2615.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2083,149.056
ACT,Narrabundah,Narrabundah Primary School,Kootara Cres,NARRABUNDAH,2604.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.329,149.151
ACT,Ngunnawal,Ngunnawal Primary School,Unaipon Ave,NGUNNAWAL,2913.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.1692,149.112
ACT,Nicholls,Nicholls Primary School,Kelleway Ave,NICHOLLS,2913.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.1802,149.102
ACT,Page,St Matthew's School,Stutchbury St,PAGE,2614.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2398,149.042
ACT,Palmerston,Palmerston Primary School,Kosciusko Ave,PALMERSTON,2913.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.1975,149.12
ACT,Reid,Uniting Church Hall,54 Coranderrk St,REID,2612.0,N,google geocode,RANGE_INTERPOLATED,-35.2801071,149.1401034
ACT,Scullin,Southern Cross Primary School,Ross Smith Cres,SCULLIN,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2328,149.03799999999998
ACT,Spence,Former Spence Primary School,Crofts Cres,SPENCE,2615.0,N,google geocode,GEOMETRIC_CENTER,-35.1987171,149.062818
ACT,Turner,Turner Primary School,Condamine St,TURNER,2601.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.265,149.126
ACT,Watson,Majura Primary School,Irvine St,WATSON,2602.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2385,149.155
ACT,Weetangera,Weetangera Primary School,Southwell St,WEETANGERA,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2518,149.047
ACT,Wreck Bay,Community Office,Wreck Bay Rd,WRECK BAY,2540.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.159,150.697
NSW,Beverly Hills North,Beverly Hills North Public School,Shorter Ave,BEVERLY HILLS,2209.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9413,151.075
NSW,East Hills,1st East Hills Scout Hall,Cnr Henry Lawson Dr & Maclaurin Ave,EAST HILLS,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9637,150.987
NSW,Hannans Road,Hannans Road Public School,Hannans Rd,RIVERWOOD,2210.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9459,151.058
NSW,Lugarno,Lugarno Public School,Old Forest Rd,LUGARNO,2210.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9857,151.04399999999998
NSW,Milperra,Milperra Public School,Pozieres Ave,MILPERRA,2214.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9418,150.98
NSW,Mortdale Central,Mortdale Pensioners Welfare Club,76 Pitt St,MORTDALE,2223.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9727,151.077
NSW,Mortdale Heights,Girl Guides Hall,Beatty St,MORTDALE,2223.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9705,151.067
NSW,Mortdale West,Penshurst West Public School,Forest Rd,MORTDALE,2223.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9619,151.07299999999998
NSW,Narwee,Narwee High School,Chamberlain St,NARWEE,2209.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9482,151.069
NSW,Oatley,Oatley Public School,Neville St,OATLEY,2223.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9847,151.08100000000002
NSW,Oatley West,Oatley West Public School,Oatley Park Ave,OATLEY,2223.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9796,151.065
NSW,Padstow,Padstow Park Public School,Segers Ave,PADSTOW,2211.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9542,151.031
NSW,Padstow East,1st Padstow Scouts Hall,107 Arab Rd,PADSTOW,2211.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.949,151.03
NSW,Padstow North,Padstow TAFE,Raine Rd,PADSTOW,2211.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9485,151.026
NSW,Padstow South,Padstow Heights Public School,Chamberlain Rd,PADSTOW HEIGHTS,2211.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9672,151.03
NSW,Panania,Revesby Presbyterian Church,Corner Tower St & Eastern Ave,REVESBY,2212.0,A,google geocode,GEOMETRIC_CENTER,-33.9578721,151.011624
NSW,Panania Central,2nd Panania Scouts Hall,Wilson St,PANANIA,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9519,150.998
NSW,Panania North,Panania North Public School,Bransgrove Rd,PANANIA,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9451,150.999
NSW,Panania South,Panania Public School,Lawler St,PANANIA,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9661,151.0
NSW,Peakhurst,Peakhurst Scouts Hall,Cnr Pearce Ave & Peake Pde,PEAKHURST,2210.0,N,google geocode,GEOMETRIC_CENTER,-33.9594649,151.0602185
NSW,Peakhurst East,Peakhurst Public School,Bonds Rd,PEAKHURST,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9553,151.061
NSW,Peakhurst South,Peakhurst South Public School,Pindari Rd,PEAKHURST,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9714,151.055
NSW,Peakhurst West,Peakhurst West Public School,Ogilvy St,PEAKHURST,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9613,151.05
NSW,Penshurst Central,Penshurst Girls High School,2 Austral St,PENSHURST,2222.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9641,151.08700000000002
NSW,Picnic Point North,Picnic Point High School,Kennedy St,PICNIC POINT,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9649,151.01
NSW,Punchbowl,Punchbowl Public School,1333 Canterbury Rd,PUNCHBOWL,2196.0,N,2010 Polling Places,"Match 02 - state, premises, postcode",-33.9307,151.056
NSW,Revesby,Y.M.C.A. Centre,184 The River Rd,REVESBY,2212.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.954,151.017
NSW,Revesby North,Revesby Public School,Victoria St,REVESBY,2212.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9447,151.017
NSW,Revesby South,Revesby South Public School,Mars St,REVESBY,2212.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9605,151.017
NSW,Riverwood North,Riverwood Public School,Union St,RIVERWOOD,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9463,151.048
NSW,Riverwood South,St Andrews Church Hall,9 Littleton St,RIVERWOOD,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9524,151.053
NSW,Sydney,Sydney Town Hall,George St,SYDNEY,2000.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8735,151.207
NSW,Allawah,St George Christian School,65 Woids Ave,ALLAWAH,2218.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9713,151.111
NSW,Allawah South,St Raphaels Church Hall,84 George St,SOUTH HURSTVILLE,2221.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9756,151.111
NSW,Arncliffe,St Andrews Presbyterian Church Hall,269 Forest Rd,BEXLEY,2207.0,N,google geocode,GEOMETRIC_CENTER,-33.9527868,151.1219221
NSW,Arncliffe East,St Francis Xavier's School,Cnr Forest Rd and Wardell St,ARNCLIFFE,2205.0,N,google geocode,GEOMETRIC_CENTER,-33.9391513,151.1462711
NSW,Athelstane,Athelstane Public School,Athelstane Ave,ARNCLIFFE,2205.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9374,151.138
NSW,Bald Face,Bald Face Public School,84 Stuart St,BLAKEHURST,2221.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9973,151.107
NSW,Banksia,Baptist Church Hall,316 Princes Hwy,BANKSIA,2216.0,N,google geocode,ROOFTOP,-33.9459179,151.1415622
NSW,Bell Park,Hurstville South Public School,Maher St,HURSTVILLE,2220.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9726,151.099
NSW,Bexley,Anglican Church Hall,Albyn St,BEXLEY,2207.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9515,151.125
NSW,Bexley Central,St Gabriels School,39 Highgate St,BEXLEY,2207.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9479,151.122
NSW,Bexley East,Bexley Public School,348 Forest Rd,BEXLEY,2207.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9467,151.128
NSW,Blakehurst,Blakehurst Uniting Church Hall,973 King Georges Rd,BLAKEHURST,2221.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9878,151.111
NSW,Bona Park,Sans Souci Guide Hall,Robert St,SANS SOUCI,2219.0,N,google geocode,GEOMETRIC_CENTER,-33.98938500000001,151.1357734
NSW,Brighton-Le-Sands,Brighton-Le-Sands Public School,35 Crawford Rd,BRIGHTON-LE-SANDS,2216.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9627,151.148
NSW,Brighton North,St Marks Anglican Church Hall,1 Trafalgar St,BRIGHTON-LE-SANDS,2216.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9605,151.154
NSW,Carlton,Carlton Scout Hall,Milsop St,BEXLEY,2207.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9624,151.124
NSW,Carlton North,Senior Citizens Centre,Taylor St,KOGARAH,2217.0,A,google geocode,GEOMETRIC_CENTER,-33.9640084,151.1308856
NSW,Carss Park,Blakehurst Public School,Dewrang St,CARSS PARK,2221.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9834,151.116
NSW,Clareville Park,Pre-School Kindergarten,95 Clareville Ave,SANDRINGHAM,2219.0,A,google geocode,ROOFTOP,-33.9992637,151.1387328
NSW,Connells Point,Connells Point Public School,Riverview Ave,CONNELLS POINT,2221.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9855,151.1
NSW,Hurstville Central,Woniora Road School,83 Woniora Rd,HURSTVILLE,2220.0,N,google geocode,ROOFTOP,-33.9710063,151.1031575
NSW,Hurstville Grove,St Aidans Church Hall,Cnr Hillcrest Ave and Lansdowne St,HURSTVILLE GROVE,2220.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9743,151.092
NSW,Hurstville South,Blakehurst High School,270a Woniora Rd,BLAKEHURST,2221.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9814,151.113
NSW,Jubilee,Carlton South Public School,Jubilee Ave,CARLTON,2218.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9727,151.128
NSW,Kogarah,Kogarah Presbyterian Church Hall,Cnr Kensington and Derby Sts,KOGARAH,2217.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9666,151.132
NSW,Kogarah Bay,Congregational Church Hall,Wyee St,KOGARAH BAY,2217.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9839,151.123
NSW,Kogarah Central,Kogarah High School,Gladstone St,KOGARAH,2217.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9616,151.136
NSW,Kyeemagh,Kyeemagh Public School,Beehag St,KYEEMAGH,2216.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9497,151.161
NSW,Monterey,St George Archers Hall,Burlington St,MONTEREY,2217.0,A,2010 Polling Places,"Match 02 - state, premises, postcode",-33.973,151.145
NSW,Moorefield,Moorefield Girls High School,Marshall St,KOGARAH,2217.0,N,google geocode,GEOMETRIC_CENTER,-33.9696951,151.1392873
NSW,Mortdale East,Mortdale Public School,Coleborne Ave,MORTDALE,2223.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9727,151.08100000000002
NSW,Ramsgate North,Ramsgate Public School,Florence St,RAMSGATE,2217.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.982,151.144
NSW,Rockdale,St Johns Anglican Church Hall,431 Princes Highway,ROCKDALE,2216.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9527,151.142
NSW,Rockdale Central,Rockdale Uniting Church Hall,11 Bay St,ROCKDALE,2216.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9537,151.139
NSW,Rockdale Park,St Dominic Savio School,280 West Botany St,ROCKDALE,2216.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9507,151.149
NSW,Rockdale West,McNess Church Hall,Frederick St,ROCKDALE,2216.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9504,151.136
NSW,St Cuthbert's,St Cuthberts Church Hall,34 Park Rd,CARLTON,2218.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9761,151.12
NSW,St George Hospital,"St George Hospital, Coffee Shop (Ward Block)",Belgrave St,KOGARAH,2217.0,F,google geocode,GEOMETRIC_CENTER,-33.9651347,151.1337257
NSW,Sans Souci,Sans Souci Public School,413 Rocky Point Rd,SANS SOUCI,2219.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9951,151.13
NSW,Sans Souci North,Sans Souci Literary Institute,107 Ramsgate Rd,SANS SOUCI,2219.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.99,151.13299999999998
NSW,South Haven,South Haven Activity Centre,35 Beach St,KOGARAH,2217.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9607,151.142
NSW,The Mall,St Marks Church Hall,10 The Mall,SOUTH HURSTVILLE,2221.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9797,151.106
NSW,Turrella,Cairnsfoot School,22 Loftus St,TURRELLA,2205.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9319,151.145
NSW,Balaclava,Epping Boys High School,Vimiera Rd,MARSFIELD,2122.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7704,151.099
NSW,Boronia Park,Boronia Park Public School,Pittwater Rd,BORONIA PARK,2111.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8214,151.135
NSW,Denistone,Eastwood Baptist Hall,First Ave,EASTWOOD,2122.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7924,151.083
NSW,Denistone East,Denistone East Infants School,Brabyn St,EASTWOOD,2122.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.7935,151.097
NSW,Eastview,"Australian Air League Building, Santa Rosa Park",64 Bridge Rd,RYDE,2112.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.794000000000004,151.11
NSW,Eastwood,Eastwood Public School,Rowe St,EASTWOOD,2122.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7928,151.078
NSW,Eastwood Heights,Eastwood Heights Public School,Lincoln St,EASTWOOD,2122.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7817,151.096
NSW,Eastwood West,Corrective Services Academy,66 Terry Rd,EASTWOOD,2122.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7906,151.067
NSW,Epping,Isobel Pulsford Memorial Kindergarten,46-48 Bridge St,EPPING,2121.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.7745,151.079
NSW,Epping East,Epping Community Centre,9 Oxford St,EPPING,2121.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7717,151.083
NSW,Epping North,Epping North Public School,Boundary Rd,NORTH EPPING,2121.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7576,151.096
NSW,Epping West,Epping West Public School,96 Carlingford Rd,EPPING,2121.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7733,151.06799999999998
NSW,Ermington,Marsden High School,Winbourne St,WEST RYDE,2114.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8036,151.07
NSW,Gladesville,Gladesville Public School,Victoria Rd,GLADESVILLE,2111.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8326,151.127
NSW,Gladesville Central,Christ Church Hall,Victoria Rd,GLADESVILLE,2111.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.8303,151.126
NSW,Gladesville East,Gladesville Uniting Church Hall,Wharf Rd,GLADESVILLE,2111.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8346,151.126
NSW,Gladesville North,Gladesville Scout Hall,cnr Ryde Rd & Westminster Rd,GLADESVILLE,2111.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8228,151.128
NSW,Gladesville West,Garage,119 Tennyson Rd,TENNYSON,2111.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.8275,151.12
NSW,Hunters Hill,All Saints Church Hall,Ambrose St,HUNTERS HILL,2110.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.836,151.156
NSW,Hunters Hill West,St Marks Church Hall,Figtree St,HUNTERS HILL,2110.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.8316,151.143
NSW,Kent Road,Kent Road Public School,Herring Rd,EASTWOOD,2122.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7864,151.109
NSW,Kittys Creek,Montessori Pre-School,Cressy Rd,EAST RYDE,2113.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8064,151.13
NSW,Lyon Park,Morling College,120 Herring Rd,MARSFIELD,2122.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.7789,151.116
NSW,Marsfield,St Anthonys Parish Hall,54 Agincourt Rd,MARSFIELD,2122.0,F,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.7805,151.102
